,Unique_ID,C1,C2,C3,C4,C5,C6,C7,C8,N1,N8,N9,N24,N33,N34
33,Candidate_53815,1,0,2,19,0,0,0,1,29.0,2,281,1491.0,51.0,106.86
34,Candidate_50136,2,1,28,61,1,1,6,1,21.99,12,644,8298.083333,300.0,414.2
35,Candidate_17333,1,3,5,15,2,1,6,1,15.0,9,322,8083.333333,200.0,346.65
36,Candidate_9056,1,0,0,41,0,1,0,1,15.0,3,211,5416.666667,240.0,415.98
37,Candidate_24160,1,1,2,41,1,1,1,1,13.9,5,1587,11083.33333,500.0,853.23
38,Candidate_44929,1,6,3,13,1,1,4,1,31.77,6,195,3416.666667,80.0,173.71
39,Candidate_51702,1,3,15,1,2,0,4,1,35.0,3,20,3416.666667,60.0,135.71
40,Candidate_29104,1,6,5,14,1,0,4,0,25.99,4,90,3250.0,150.0,302.14
41,Candidate_23139,1,1,2,62,2,0,4,1,13.0,2,15,3750.0,28.0,47.17
42,Candidate_34855,1,3,2,15,2,1,1,1,27.4,4,321,9583.333333,140.0,287.28
43,Candidate_53428,1,0,11,19,0,0,0,1,23.0,5,134,3000.0,60.0,116.13
44,Candidate_29470,1,6,3,16,2,1,4,1,23.99,1,137,4083.333333,50.0,98.07
45,Candidate_7913,1,1,2,0,1,0,2,1,31.25,5,88,4666.666667,80.0,172.56
46,Candidate_15915,1,0,0,31,0,1,0,1,23.0,0,0,4083.333333,80.0,141.91
47,Candidate_39822,1,1,1,27,2,0,6,1,9.35,9,623,7000.0,164.0,262.1
48,Candidate_32727,1,0,26,47,2,1,4,1,18.7,3,148,2666.666667,80.0,146.02
49,Candidate_13491,1,1,41,0,2,0,1,1,19.0,7,515,26250.0,500.0,916.4
50,Candidate_31384,1,1,2,1,2,0,7,1,31.8,8,118,1250.0,20.0,3.95
51,Candidate_32115,1,0,8,1,2,0,7,1,16.2,3,57,1333.333333,60.0,59.62
52,Candidate_14154,1,2,2,15,2,1,1,1,25.66,10,3118,20000.0,160.0,320.88
53,Candidate_648,1,0,0,42,0,0,0,1,19.5,0,0,4583.333333,150.0,276.82
54,Candidate_49039,1,1,5,18,2,1,2,1,13.55,8,558,5083.333333,100.0,169.8
55,Candidate_48742,1,1,1,1,4,0,4,0,18.99,5,170,3200.0,100.0,183.25
56,Candidate_14950,1,0,43,5,0,1,0,1,16.8,20,1024,5395.0,30.0,53.33
57,Candidate_8619,2,7,12,13,1,0,6,1,24.89,5,712,6250.0,100.0,146.43
58,Candidate_3560,1,0,9,1,0,1,0,1,15.5,4,127,2972.583333,240.0,418.93
59,Candidate_1537,1,0,5,16,2,1,2,1,26.0,8,374,4333.333333,120.0,241.74
60,Candidate_44634,1,4,28,29,2,0,1,1,10.45,7,898,8666.666667,32.0,51.97
61,Candidate_5714,1,1,8,1,1,1,2,1,25.99,7,130,4666.666667,100.0,201.43
62,Candidate_2895,1,0,0,31,0,0,0,1,22.0,0,0,4333.333333,40.0,76.38
63,Candidate_22498,1,0,35,15,0,1,0,1,10.71,8,901,20833.33333,150.0,243.35
64,Candidate_23206,1,2,17,35,2,0,2,1,16.97,5,149,4166.666667,24.0,42.77
65,Candidate_51221,1,0,34,14,6,1,7,1,18.5,1,0,583.333333,90.0,163.82
66,Candidate_34012,1,11,4,41,1,1,6,1,8.99,3,71,7056.833333,40.0,63.59
67,Candidate_54771,1,0,19,4,0,0,0,1,25.0,0,0,1500.0,40.0,79.52
68,Candidate_28293,1,2,5,1,2,1,2,1,7.1,8,185,6134.166667,40.0,0.0
69,Candidate_10908,1,0,22,41,0,1,0,1,9.5,8,153,3833.333333,20.0,32.03
70,Candidate_51402,1,0,13,17,2,0,4,1,11.0,15,567,2250.0,80.0,130.95
71,Candidate_48445,1,7,2,1,2,1,6,1,17.3,8,517,8152.916667,500.0,895.06
72,Candidate_17703,1,0,11,12,0,0,0,1,13.0,3,35,1800.0,44.0,74.13
73,Candidate_18809,1,1,1,13,1,1,1,1,15.99,17,749,9166.666667,100.0,175.76
74,Candidate_11981,1,3,35,13,2,0,6,1,26.65,4,93,6583.333333,150.0,304.78
75,Candidate_24478,2,1,13,1,1,1,1,1,17.28,9,744,10416.66667,260.0,325.04
76,Candidate_6108,1,6,17,35,1,1,4,1,31.99,9,440,3500.0,40.0,87.1
77,Candidate_33373,1,7,14,11,1,0,2,1,16.79,5,378,5416.666667,50.0,88.87
78,Candidate_11677,1,0,19,13,0,0,0,1,25.25,0,0,3420.833333,50.0,99.73
79,Candidate_51939,1,0,36,19,2,1,2,1,10.7,12,1097,4250.0,100.0,162.98
80,Candidate_37564,1,0,2,0,6,0,2,1,35.0,9,153,5000.0,51.02,115.4
81,Candidate_12164,1,0,2,13,0,0,0,1,7.75,12,21,3766.666667,60.0,93.66
82,Candidate_33418,2,1,29,15,1,1,6,1,14.65,26,1298,6666.666667,100.0,118.03
83,Candidate_28284,1,3,7,41,2,1,2,1,13.5,8,328,5833.333333,500.0,848.38
84,Candidate_1966,1,1,20,13,2,1,4,1,26.25,1,10,3333.333333,50.0,101.06
85,Candidate_19333,1,0,2,41,0,0,0,1,20.0,1,13,7083.333333,51.0,94.77
86,Candidate_17941,2,7,34,1,1,1,4,1,16.44,2,42,3083.333333,200.0,245.52
87,Candidate_5517,1,7,19,16,2,1,2,1,35.0,7,282,5083.333333,140.0,316.65
88,Candidate_47092,2,13,7,10,1,1,6,1,31.65,7,180,6250.0,80.0,133.5
89,Candidate_51489,1,0,2,0,0,0,0,1,29.0,1,0,1916.666667,51.0,106.86
90,Candidate_30815,1,1,35,1,2,1,4,1,10.45,12,314,2583.333333,40.0,64.96
91,Candidate_36060,1,7,13,1,2,1,1,1,6.75,4,88,10416.66667,60.0,92.29
92,Candidate_35755,1,0,0,1,0,0,0,1,17.0,7,269,4333.333333,60.0,106.96
93,Candidate_35924,1,1,33,29,2,1,6,1,10.2,7,1968,7916.666667,150.0,222.87
94,Candidate_49048,1,1,20,19,1,0,4,1,31.99,14,341,2500.0,150.0,326.62
95,Candidate_13910,1,0,0,31,0,1,0,1,15.25,5,406,6666.666667,240.0,417.45
96,Candidate_44355,2,1,38,26,1,1,1,1,16.99,12,586,10000.0,180.0,223.62
97,Candidate_50754,1,0,2,19,0,0,0,1,26.0,3,50,2849.916667,51.0,102.74
98,Candidate_40734,1,0,3,29,2,1,1,1,12.45,21,3494,12333.33333,200.0,334.3
99,Candidate_5696,1,6,29,4,2,0,7,1,18.65,0,0,1916.666667,150.0,273.59
100,Candidate_421,2,1,19,1,1,0,4,1,21.24,10,159,2600.0,265.0,360.25
101,Candidate_27273,1,3,29,0,2,1,2,1,8.65,5,281,5458.333333,100.0,158.19
102,Candidate_27160,1,1,2,41,2,0,6,1,30.0,3,296,6302.833333,60.0,127.35
103,Candidate_21343,1,3,2,6,2,0,2,1,15.94,5,87,4458.333333,380.0,667.42
104,Candidate_48881,2,1,2,12,1,0,2,1,15.51,4,79,4833.333333,370.0,445.08
105,Candidate_34637,1,0,24,4,2,0,4,1,27.0,3,31,3166.666667,40.0,81.65
106,Candidate_1376,1,4,38,28,2,0,4,1,15.04,8,166,3750.0,150.0,260.14
107,Candidate_46070,1,0,2,1,0,1,0,1,13.75,2,59,2033.916667,51.0,67.04
108,Candidate_4143,1,1,12,1,7,0,7,1,22.25,12,292,2058.333333,170.0,325.72
109,Candidate_6544,1,2,46,0,2,1,1,1,35.0,3,265,22916.66667,50.0,113.09
110,Candidate_41137,1,7,13,41,1,1,1,1,35.0,11,304,10000.0,60.0,135.71
111,Candidate_26454,1,0,0,31,0,0,0,0,7.75,9,0,0.083333,50.0,78.05
112,Candidate_48953,1,7,3,32,7,0,7,1,7.1,7,75,1000.0,20.0,30.92
113,Candidate_24269,1,0,0,31,0,1,0,1,20.0,4,79,3554.166667,120.02,223.02
114,Candidate_5781,1,0,19,4,2,0,4,1,18.0,0,0,3225.0,150.0,271.14
115,Candidate_30510,1,7,7,1,2,0,2,1,9.2,8,243,4583.333333,40.0,63.79
116,Candidate_38231,1,3,1,1,2,0,7,1,10.89,5,137,1166.666667,200.0,326.87
117,Candidate_12402,1,1,2,0,1,0,4,1,31.77,3,116,4035.166667,80.0,173.71
118,Candidate_18488,1,1,4,1,1,1,2,1,31.77,6,346,4416.666667,80.0,173.71
119,Candidate_28834,1,3,6,0,1,0,6,1,22.87,13,410,7916.666667,150.0,289.81
120,Candidate_721,1,1,10,17,2,1,4,1,31.0,5,17,2333.333333,60.0,129.0
121,Candidate_1166,1,0,0,9,2,0,2,1,15.0,7,251,5730.0,340.0,589.31
122,Candidate_18970,2,1,16,0,1,0,2,1,26.32,5,275,5583.333333,270.0,406.76
123,Candidate_8878,1,2,15,10,4,0,2,0,35.0,1,25,4166.666667,30.0,67.85
124,Candidate_23685,1,7,50,1,2,1,4,1,11.86,6,448,3250.0,21.0,34.8
125,Candidate_43272,1,1,17,42,1,1,4,1,19.49,18,976,3833.333333,240.0,442.85
126,Candidate_46189,1,0,0,38,0,0,0,1,17.0,1,164,3000.0,20.6,36.72
127,Candidate_37633,1,2,1,0,2,1,6,1,12.89,8,644,7916.666667,59.0,99.24
128,Candidate_21899,1,4,13,12,2,0,4,1,18.2,10,289,2250.0,50.0,90.63
129,Candidate_33814,1,7,12,20,2,1,1,1,11.4,6,617,11250.0,200.0,329.28
130,Candidate_16789,1,0,0,13,0,1,0,1,9.25,14,218,5750.0,200.0,319.16
131,Candidate_11373,1,7,16,4,1,0,4,1,21.99,8,251,4000.0,240.0,458.22
132,Candidate_18246,1,6,2,1,2,0,2,1,24.5,6,161,5333.333333,60.0,87.76
133,Candidate_49978,1,0,2,1,2,0,3,0,20.85,1,10,0.0,298.0,560.21
134,Candidate_43891,1,7,10,12,2,0,4,1,10.9,5,132,3000.0,30.0,28.98
135,Candidate_45009,1,5,7,0,2,0,4,1,35.0,3,25,2200.0,64.0,0.0
136,Candidate_8265,1,4,10,58,2,0,7,1,35.0,3,82,1672.25,40.0,90.47
137,Candidate_17039,1,5,14,1,4,1,4,0,26.25,17,675,3500.0,96.0,152.02
138,Candidate_25928,1,1,17,1,1,1,6,1,25.75,8,911,7500.0,60.0,120.47
139,Candidate_30559,1,0,0,40,0,0,0,1,13.95,1,0,5460.0,80.0,136.61
140,Candidate_21846,1,0,4,16,0,1,0,1,9.0,7,830,3382.5,24.0,38.16
141,Candidate_34106,2,2,46,42,1,1,2,1,14.9,9,265,6000.0,160.0,189.9
142,Candidate_1062,1,0,2,1,2,0,2,1,25.4,5,35,3977.75,100.0,199.86
143,Candidate_17359,3,7,15,0,1,1,1,1,5.65,3,94,19166.66667,200.0,859.06
144,Candidate_33883,2,1,2,1,1,1,1,1,26.72,14,1308,10000.0,200.0,303.68
145,Candidate_22205,1,0,2,42,0,0,0,1,20.0,4,133,3666.666667,100.0,185.82
146,Candidate_14956,2,7,14,4,1,1,4,1,18.99,9,405,2583.333333,160.0,207.48
147,Candidate_29124,1,1,34,1,2,0,7,1,10.5,9,194,1440.0,120.0,174.2
148,Candidate_49373,1,7,28,42,2,0,2,1,8.0,10,228,4583.333333,100.0,156.68
149,Candidate_5392,1,0,0,32,2,1,1,1,20.0,5,1139,11331.5,170.0,315.89
150,Candidate_44886,1,1,3,5,1,1,6,1,12.99,3,168,7125.0,120.0,202.13
151,Candidate_44615,1,7,23,4,1,0,6,1,31.99,9,191,6250.0,150.0,326.62
152,Candidate_40185,1,3,2,1,2,0,4,1,11.4,11,119,2250.0,160.0,263.43
153,Candidate_807,1,2,20,0,2,1,6,1,9.19,3,300,7833.333333,80.0,127.55
154,Candidate_11637,1,0,0,31,0,0,0,1,28.5,2,37,7416.666667,206.0,428.83
155,Candidate_16082,1,7,2,0,2,0,2,0,15.0,4,34,5250.0,52.0,90.13
156,Candidate_49528,1,0,0,16,2,0,4,1,21.0,1,28,4026.25,80.0,143.93
157,Candidate_30079,1,1,34,41,4,1,2,0,16.64,7,259,4316.0,160.0,283.79
158,Candidate_47410,1,1,13,26,2,1,1,1,9.95,6,920,12500.0,265.0,427.23
159,Candidate_18063,1,0,3,37,4,1,1,1,13.0,8,418,10416.66667,200.0,331.09
160,Candidate_5997,1,0,0,31,0,0,0,1,22.5,0,0,2083.333333,40.0,76.9
161,Candidate_31157,1,7,13,29,2,1,6,1,12.49,15,807,8083.333333,120.0,200.69
162,Candidate_25266,1,1,5,30,6,1,2,1,17.08,10,816,4166.666667,200.0,350.42
163,Candidate_49607,2,1,15,4,2,1,4,1,13.99,10,208,3333.333333,220.0,255.89
164,Candidate_25596,1,1,37,4,2,0,4,0,21.75,3,46,2666.666667,20.0,38.06
165,Candidate_37264,1,1,20,4,2,1,2,1,16.95,18,1571,4416.666667,300.0,524.58
166,Candidate_9202,2,7,38,16,1,0,4,1,24.68,6,461,3750.0,100.0,145.82
167,Candidate_37436,1,0,23,7,0,0,0,1,14.48,6,88,4000.0,120.0,206.47
168,Candidate_2674,1,1,8,19,2,0,4,1,15.0,3,520,2260.333333,200.0,346.65
169,Candidate_23337,1,2,3,2,2,1,6,1,9.7,6,112,6583.333333,120.0,190.6
170,Candidate_13938,1,0,17,1,4,1,4,1,13.0,3,185,2083.333333,50.0,82.55
171,Candidate_48101,2,3,3,0,4,0,1,0,20.99,5,134,11666.66667,200.0,270.48
172,Candidate_38533,1,7,22,1,1,1,6,1,25.99,1,68,6500.0,50.0,100.71
173,Candidate_47906,1,1,11,1,3,0,5,0,25.99,3,94,0.0,120.0,241.71
174,Candidate_38347,1,1,1,1,2,0,7,1,16.2,3,116,1880.666667,34.0,22.28
175,Candidate_35450,1,1,19,6,4,0,6,0,18.4,10,462,6666.666667,300.0,545.3
176,Candidate_31579,1,4,1,55,2,1,7,1,8.2,16,153,2000.0,100.0,157.14
177,Candidate_6083,1,4,10,4,2,0,4,1,35.0,2,95,2166.666667,40.0,90.47
178,Candidate_10594,1,7,31,1,1,1,2,1,9.74,15,446,4416.666667,470.0,755.41
179,Candidate_50890,1,0,19,41,0,0,0,1,29.0,1,20,4215.333333,80.0,167.62
180,Candidate_25819,1,7,2,16,6,0,4,1,27.84,9,254,2250.0,120.0,247.66
181,Candidate_30159,1,1,20,41,2,1,3,0,4.0,11,426,0.0,300.0,442.86
182,Candidate_38748,1,2,19,13,1,1,2,1,6.25,4,32,4166.666667,160.0,244.28
183,Candidate_4345,1,1,23,17,1,0,4,1,31.77,7,177,2500.0,80.0,173.71
184,Candidate_36665,1,0,0,46,0,1,0,1,8.5,13,189,5077.583333,50.0,78.92
185,Candidate_12489,1,4,6,7,6,0,7,1,35.0,2,394,1380.833333,20.0,45.24
186,Candidate_31000,1,0,2,31,0,0,0,1,26.0,5,166,4500.0,51.0,102.74
187,Candidate_53323,1,1,5,1,2,0,4,1,21.25,4,74,3583.333333,300.0,567.05
188,Candidate_10157,1,4,7,10,2,0,4,1,30.0,0,0,3166.666667,50.0,106.13
189,Candidate_18474,1,2,1,15,2,1,1,1,8.25,8,348,15000.0,300.0,471.78
190,Candidate_26362,1,3,1,1,2,1,1,1,30.99,17,1027,13333.33333,150.0,322.47
191,Candidate_20867,1,7,9,7,1,1,4,1,31.77,2,45,2500.0,80.0,173.71
192,Candidate_32209,1,5,2,6,2,0,2,1,11.5,5,462,4500.0,58.0,95.63
193,Candidate_7966,1,1,13,40,1,1,1,1,29.5,4,246,8416.666667,150.0,316.34
194,Candidate_34083,1,4,2,10,2,0,1,1,27.5,3,51,8333.333333,60.0,121.73
195,Candidate_12085,1,0,0,19,2,0,7,1,29.0,6,251,1200.0,80.0,167.62
196,Candidate_25609,1,1,1,1,1,0,2,1,13.9,4,270,5333.333333,90.0,153.58
197,Candidate_30557,3,6,2,1,3,0,5,0,23.78,1,0,0.0,40.0,188.91
198,Candidate_28221,1,3,5,1,4,1,4,1,23.0,3,370,3767.583333,60.02,116.17
199,Candidate_10067,2,3,14,35,1,1,2,1,25.73,2,10,4300.0,130.02,193.61
200,Candidate_23517,1,0,3,1,2,1,1,1,14.33,6,311,10833.33333,118.0,202.59
201,Candidate_27576,1,2,13,50,1,0,6,1,16.64,11,1138,7500.0,74.0,131.25
202,Candidate_11912,1,0,23,10,2,1,2,1,13.5,11,809,5000.0,160.0,271.48
203,Candidate_28530,1,9,18,0,1,1,1,1,6.49,20,1003,10416.66667,245.0,375.39
204,Candidate_23654,3,1,30,1,1,1,6,1,12.24,8,271,6250.0,60.0,255.17
205,Candidate_2501,1,1,42,57,4,1,1,0,17.42,6,364,8416.666667,300.0,537.93
206,Candidate_41860,1,2,5,1,2,0,2,1,9.2,8,564,4166.666667,60.0,95.68
207,Candidate_14362,1,7,2,1,1,0,2,1,25.99,7,295,4583.333333,40.0,80.57
208,Candidate_15465,1,3,30,15,2,1,1,1,7.7,11,440,16666.66667,200.0,311.98
209,Candidate_40332,1,1,5,38,1,1,4,1,31.49,6,1036,3833.333333,150.0,324.54
210,Candidate_54716,1,0,20,1,3,1,5,1,15.0,5,93,1173.0,40.0,69.33
211,Candidate_8534,2,1,26,16,1,1,2,1,22.26,5,191,6000.0,300.0,416.5
212,Candidate_15806,2,1,13,0,4,1,2,0,28.7,8,478,4166.666667,150.0,236.7
213,Candidate_8313,1,13,22,1,1,1,1,1,17.68,9,540,10833.33333,170.0,305.93
214,Candidate_26275,1,0,7,17,2,0,4,1,23.0,5,136,4050.0,70.0,135.48
215,Candidate_19331,1,0,0,48,0,1,0,1,10.3,4,283,7927.666667,60.0,97.22
216,Candidate_21437,1,1,2,13,2,1,1,1,19.8,8,529,8333.333333,300.0,555.93
217,Candidate_18735,3,1,26,61,1,0,6,1,17.95,3,55,8083.333333,200.0,916.56
218,Candidate_35157,2,6,5,38,1,1,4,1,21.99,5,174,2750.0,300.0,414.2
219,Candidate_7441,1,1,16,13,1,1,2,1,31.23,16,745,4700.0,110.0,237.2
220,Candidate_41414,1,0,34,12,2,0,7,1,12.5,3,62,1925.0,161.88,270.77
221,Candidate_47212,1,6,8,1,1,0,7,0,34.4,7,192,1666.666667,30.0,67.35
222,Candidate_14738,1,1,6,46,2,0,2,1,13.5,7,405,4583.333333,160.0,271.48
223,Candidate_30986,1,3,5,15,2,0,6,1,24.95,4,205,6250.0,20.0,39.73
224,Candidate_50467,1,1,5,38,2,1,2,1,24.55,11,421,5083.333333,309.5,611.61
225,Candidate_16620,1,0,0,4,0,1,0,1,16.0,5,0,4666.666667,50.0,87.89
226,Candidate_31644,1,0,1,31,0,0,0,1,14.2,0,0,7500.0,200.0,342.75
227,Candidate_39161,1,1,17,1,5,0,4,1,24.99,7,317,2596.0,200.0,397.55
228,Candidate_23614,1,0,2,32,0,1,0,1,8.99,6,14,10833.33333,200.0,317.95
229,Candidate_13274,1,7,31,19,2,0,7,0,33.25,3,45,1570.833333,20.0,44.25
230,Candidate_7366,1,1,25,29,1,0,2,1,25.99,4,295,4166.666667,60.0,120.86
231,Candidate_32362,1,0,28,60,2,0,7,1,13.1,2,0,665.666667,76.0,128.22
232,Candidate_27514,1,1,20,1,5,0,7,1,31.77,10,425,1980.083333,80.0,173.71
233,Candidate_51427,1,0,34,1,2,0,4,1,19.0,2,43,2916.666667,40.0,73.31
234,Candidate_33633,1,7,20,9,1,0,7,1,27.5,0,0,1499.0,60.0,123.28
235,Candidate_54503,1,0,2,6,0,1,0,1,24.0,0,0,3750.0,51.0,100.04
236,Candidate_16097,1,0,2,1,2,0,7,1,23.0,4,56,1833.333333,56.0,108.39
237,Candidate_16988,1,1,4,59,1,1,1,1,14.49,8,190,8722.416667,180.0,309.74
238,Candidate_49213,1,6,38,0,1,1,2,1,24.69,5,346,5200.0,20.0,0.0
239,Candidate_48967,1,0,0,6,2,0,4,1,21.0,7,167,3708.333333,42.0,79.12
240,Candidate_50887,1,0,0,14,2,1,2,1,20.0,10,233,4500.0,152.0,282.44
241,Candidate_30780,1,0,19,10,2,0,2,1,24.0,5,50,4992.583333,200.0,392.33
242,Candidate_25821,1,5,26,6,2,0,4,1,35.0,4,70,3333.333333,30.0,47.64
243,Candidate_16043,1,0,0,31,0,1,0,1,22.0,0,0,2083.333333,20.0,0.0
244,Candidate_44670,1,1,20,1,1,1,4,1,26.0,4,84,2416.666667,70.0,141.02
245,Candidate_30259,3,2,14,2,1,1,1,1,12.24,3,222,11666.66667,186.0,824.88
246,Candidate_37101,1,1,38,17,1,1,7,1,31.77,7,480,1788.833333,80.0,173.71
247,Candidate_920,1,1,16,0,1,0,2,1,31.99,5,71,5000.0,80.0,174.2
248,Candidate_260,1,0,15,1,2,1,4,1,29.0,5,116,3166.666667,60.0,125.72
249,Candidate_40252,1,3,2,1,2,1,6,1,7.1,7,925,7500.0,60.0,0.0
250,Candidate_4837,2,1,5,4,1,1,2,1,20.85,6,347,4583.333333,200.0,269.69
251,Candidate_7530,1,5,15,1,2,1,4,1,5.0,1,17,3500.0,90.0,134.87
252,Candidate_48752,1,0,5,0,2,1,2,1,13.0,7,202,5359.5,99.98,168.44
253,Candidate_2461,1,0,31,31,0,0,0,1,20.75,0,0,1440.0,66.0,123.9
254,Candidate_53352,1,1,5,38,6,0,7,1,31.06,9,290,1250.0,50.0,107.59
255,Candidate_38789,1,7,14,29,2,0,2,1,14.91,2,35,4166.666667,130.0,225.04
256,Candidate_35798,1,2,7,41,1,1,6,1,16.09,5,234,7833.333333,220.0,387.22
257,Candidate_11253,1,1,3,1,2,1,2,1,10.0,3,254,4466.666667,300.0,484.01
258,Candidate_11968,2,1,16,1,3,1,5,0,29.97,11,782,0.0,200.0,323.35
259,Candidate_6922,1,0,2,1,2,0,7,1,16.4,4,50,2000.0,160.0,282.84
260,Candidate_10184,1,1,7,42,2,1,2,1,31.49,22,890,6000.0,140.0,302.9
261,Candidate_35402,1,7,7,17,2,0,4,1,22.0,11,523,3125.0,20.0,38.19
262,Candidate_10933,2,2,7,13,1,1,6,1,12.71,7,963,7083.333333,281.98,315.26
263,Candidate_16859,1,1,8,1,4,1,7,1,17.0,16,878,833.333333,260.0,463.49
264,Candidate_23953,1,7,13,2,2,1,2,1,20.85,9,339,5000.0,199.98,375.94
265,Candidate_54520,1,0,5,12,0,0,0,1,24.81,0,0,2500.0,60.02,119.02
266,Candidate_49481,2,1,20,1,1,1,2,1,26.1,2,50,4166.666667,140.0,210.0
267,Candidate_8834,1,0,23,19,2,0,7,1,20.33,6,332,1656.416667,40.0,74.66
268,Candidate_25882,1,0,7,41,2,0,2,1,14.0,10,419,4166.666667,200.0,341.78
269,Candidate_6968,1,0,1,31,0,1,0,1,12.5,0,0,6500.0,100.0,167.27
270,Candidate_20921,1,1,19,38,2,0,6,1,27.5,2,30,7250.0,100.0,205.47
271,Candidate_11002,2,7,16,0,1,1,2,1,11.99,10,473,6000.0,300.0,333.59
272,Candidate_10152,1,6,5,23,1,0,4,1,29.58,0,0,2500.0,40.0,84.44
273,Candidate_14565,1,2,5,1,7,0,4,1,23.6,3,116,3250.0,150.0,292.67
274,Candidate_53197,2,18,5,10,1,0,1,1,13.96,7,769,10833.33333,500.0,581.19
275,Candidate_38708,1,3,2,0,2,1,1,1,14.9,3,331,11666.66667,300.0,519.25
276,Candidate_52067,1,0,27,31,0,0,0,1,17.0,0,0,2583.333333,60.0,106.96
277,Candidate_41010,1,0,7,0,0,0,0,1,18.0,15,825,4294.0,80.0,142.72
278,Candidate_50249,1,0,24,1,0,0,0,1,29.0,1,0,1416.666667,100.0,209.53
279,Candidate_44398,2,1,5,1,5,0,4,1,20.39,5,370,2839.25,380.0,507.52
280,Candidate_7965,1,0,41,9,2,0,4,1,24.0,2,59,2916.666667,52.2,102.4
281,Candidate_50595,1,0,19,0,0,0,0,1,29.0,2,57,3333.333333,30.0,62.86
282,Candidate_43524,1,0,0,35,0,1,0,1,15.0,10,81,6833.333333,20.0,34.67
283,Candidate_31919,1,0,5,1,2,1,2,1,13.8,3,271,5416.666667,60.02,76.45
284,Candidate_1447,1,0,2,16,2,1,2,1,29.0,6,162,5416.666667,100.0,209.53
285,Candidate_31068,2,1,26,1,1,1,7,0,28.7,7,413,1050.833333,284.1,448.32
286,Candidate_27430,1,4,16,29,2,1,4,1,10.8,5,30,2583.333333,100.0,163.22
287,Candidate_46408,1,3,41,1,1,0,4,1,19.79,3,65,3666.666667,299.98,555.81
288,Candidate_31394,1,1,10,1,1,1,2,1,13.59,12,576,5166.666667,60.0,101.94
289,Candidate_53680,1,0,2,10,0,0,0,1,26.66,8,410,7500.0,100.0,203.22
290,Candidate_7752,1,0,0,1,0,0,0,1,29.0,3,43,3239.166667,160.0,335.25
291,Candidate_10563,1,0,0,43,0,1,0,1,24.0,2,25,4333.333333,22.0,43.16
